학교명,KEDI 학제,학생수_총계_계,주소,Latitude,Longitude
인천하늘고등학교,일반고등학교,663,인천광역시 중구 영종대로277번길 117 . 인천하늘고등학교 (운서동),37.4951398,126.5067798
인천영종고등학교,일반고등학교,933,인천광역시 중구 영종대로278번길 34 (운서동),37.4960926,126.4915391
인천공항고등학교,일반고등학교,792,인천광역시 중구 신도시북로 20 (운서동),37.497448,126.4860371
인천과학고등학교,과학고등학교,211,인천광역시 중구 영종대로277번길 74-37 (운서동),37.4913264,126.5074054
인천국제고등학교,국제고등학교,400,인천광역시 중구 영종대로277번길 74-40 (운서동),37.4901089,126.509171
영종국제물류고등학교,상업고등학교,206,인천광역시 중구 운남서로10번길 1 (운남동),37.4900048,126.5309229
인천공항초등학교,초등학교,568,인천광역시 중구 신도시남로 43 (운서동. 공항초등학교),37.4918963,126.4859086
인천영종초등학교금산분교장,초등학교,64,인천광역시 중구 백운로414번길 63-50 (운북동. 금산초등학교),37.5107002,126.5230989
인천별빛초등학교,초등학교,349,인천광역시 중구 은하수로 402 (운남동),37.4916412,126.5331139
인천용유초등학교무의분교장,초등학교,8,인천광역시 중구 대무의로 302-17 (무의동. 용유초등학교무의분교),37.3874761,126.4287792
인천영종초등학교,초등학교,1333,인천광역시 중구 하늘달빛로 133 . 인천영종초등학교 (중산동),37.4969641,126.5551105
인천용유초등학교,초등학교,48,인천광역시 중구 남북로87번길 4 (남북동. 용유초등학교),37.448206,126.4123892
인천운서초등학교,초등학교,221,인천광역시 중구 운서2로 57 (운서동.인천운서초등학교),37.4834812,126.5118785
인천하늘초등학교,초등학교,760,인천광역시 중구 은하수로 294 (중산동. 영종하늘초등학교),37.4980021,126.5580866
인천삼목초등학교,초등학교,771,인천광역시 중구 신도시북로 42 (운서동. 인천삼목초등학교),37.4986455,126.486325
인천운남초등학교,초등학교,444,인천광역시 중구 운남서로 38 (운남동. 운남초등학교),37.4901751,126.5299877
인천중산초등학교,초등학교,1559,인천광역시 중구 두미포로 100 . 인천중산초등학교 (중산동),37.4950539,126.5656486
인천공항중학교,일반중학교,1025,인천광역시 중구 영종대로27번길 49 . 인천공항중학교 (운서동. 인천공항중학교),37.4973401,126.484353
영종중학교,일반중학교,808,인천광역시 중구 남디로 92 (운남동. 영종중학교),37.483974,126.524072
용유중학교,일반중학교,43,인천광역시 중구 남북로87번길 4 (남북동),37.44808,126.412499
인천중산중학교,일반중학교,934,인천광역시 중구 두미포로 189 (중산동),37.4956798,126.5699476