"특성별(1)",특성별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"특성별(1)",특성별(2),외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기
"특성별(1)",특성별(2),6개월 미만,6개월 이상-1년 미만,1년 이상-3년 미만,3년 이상-5년 미만,5년 이상-7년 미만,7년 이상,학업중단이나 대학진학 실패로,취업이 잘되지 않아서,인간관계가 잘되지 않아서,장애가 있거나 몸이 불편해서,임신이나 출산 때문에,기타,6개월 미만,6개월 이상-1년 미만,1년 이상-3년 미만,3년 이상-5년 미만,5년 이상-7년 미만,7년 이상,학업중단이나 대학진학 실패로,취업이 잘되지 않아서,인간관계가 잘되지 않아서,장애가 있거나 몸이 불편해서,임신이나 출산 때문에,기타,6개월 미만,6개월 이상-1년 미만,1년 이상-3년 미만,3년 이상-5년 미만,5년 이상-7년 미만,7년 이상,학업중단이나 대학진학 실패로,취업이 잘되지 않아서,인간관계가 잘되지 않아서,장애가 있거나 몸이 불편해서,임신이나 출산 때문에,기타,6개월 미만,6개월 이상-1년 미만,1년 이상-3년 미만,3년 이상-5년 미만,5년 이상-7년 미만,7년 이상,학업중단이나 대학진학 실패로,취업이 잘되지 않아서,인간관계가 잘되지 않아서,장애가 있거나 몸이 불편해서,임신이나 출산 때문에,기타
"전체",소계,18.4,17.9,36.5,16.6,6.0,4.7,3.8,17.9,10.1,4.6,61.3,2.2,23.5,23.8,9.1,25.5,11.3,6.9,5.8,33.0,17.7,4.3,37.2,1.9,28.3,12.1,25.1,19.2,8.0,7.3,3.1,22.2,2.3,1.8,54.4,16.3,41.1,24.2,18.7,11.9,1.7,2.4,5.1,37.4,6.8,4.9,28.6,17.2
"성별",남자,43.0,14.0,39.6,3.4,0.0,0.0,14.3,40.2,22.1,12.1,0.0,11.3,39.2,13.9,8.9,29.3,0.0,8.6,15.2,47.1,24.3,8.6,0.0,4.9,44.2,24.8,27.7,3.4,0.0,0.0,5.1,71.3,2.1,2.3,0.0,19.2,54.4,17.0,15.3,8.2,1.2,3.8,8.3,46.4,12.0,8.6,0.0,24.7
"성별",여자,12.4,18.9,35.8,19.7,7.4,5.8,1.3,12.5,7.2,2.8,76.1,0.0,13.6,29.9,9.1,23.2,18.4,5.8,0.0,24.3,13.6,1.7,60.4,0.0,22.6,7.5,24.2,25.0,10.8,9.9,2.4,4.5,2.4,1.6,74.0,15.2,31.2,29.6,21.1,14.6,2.0,1.5,2.7,30.7,3.0,2.1,49.7,11.7
"연령별",만15-18세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.6,0.0,74.5,16.9,0.0,0.0,33.1,0.0,8.6,12.4,0.0,46.0,-,-,-,-,-,-,-,-,-,-,-,-
"연령별",만19-29세,30.0,18.7,35.0,16.3,0.0,0.0,10.2,27.6,9.5,2.9,43.9,5.8,35.1,53.2,8.0,0.0,0.0,3.7,13.6,64.1,3.6,3.7,10.6,4.4,39.9,17.0,25.0,14.9,3.3,0.0,4.6,30.6,2.2,1.2,41.2,20.1,-,-,-,-,-,-,-,-,-,-,-,-
"연령별",만30-39세,11.3,17.5,37.4,16.7,9.6,7.5,0.0,12.0,10.5,5.7,71.8,0.0,14.7,1.6,9.8,44.7,19.8,9.3,0.0,9.6,28.3,4.8,57.2,0.0,16.8,7.4,22.6,24.1,13.5,15.5,0.0,14.2,2.1,1.8,71.4,10.5,-,-,-,-,-,-,-,-,-,-,-,-
"연령별",만18-19세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81.4,16.1,2.5,0.0,0.0,0.0,18.2,40.7,13.5,0.0,0.0,27.6
"연령별",만20-24세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.5,28.7,19.8,0.0,0.0,0.0,15.9,40.9,9.3,6.1,1.7,26.1
"연령별",만25-29세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.1,17.0,19.9,13.0,1.4,1.6,0.0,50.7,6.4,4.0,23.3,15.6
"연령별",만30-34세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.9,30.3,19.3,22.2,3.6,5.8,0.0,19.1,4.1,5.8,60.7,10.2
"지역별",서울,13.5,20.3,47.6,0.0,11.7,6.9,6.4,35.0,0.0,0.0,58.6,0.0,9.7,35.6,7.4,29.7,12.0,5.6,0.0,45.3,13.6,4.1,29.6,7.4,15.5,44.4,21.5,14.8,3.8,0.0,11.6,27.9,13.7,0.0,29.3,17.5,46.1,19.4,2.5,20.7,3.5,7.8,9.7,41.6,17.7,0.0,17.7,13.2
"지역별",인천·경기,12.3,21.4,37.2,21.1,3.7,4.3,0.0,7.9,18.8,0.0,69.5,3.9,38.2,35.4,0.0,8.2,18.2,0.0,0.0,25.6,38.2,0.0,36.2,0.0,33.8,0.0,23.1,25.9,7.7,9.4,0.9,6.7,0.0,1.9,73.4,17.1,38.6,33.7,18.8,6.5,0.0,2.4,0.0,43.3,3.0,4.3,28.7,20.8
"지역별",대전·충청·세종·강원,30.7,5.1,24.0,26.7,5.3,8.2,11.5,14.9,0.0,7.1,66.6,0.0,28.6,30.1,0.0,41.3,0.0,0.0,0.0,50.3,26.2,0.0,23.5,0.0,57.0,9.0,8.7,4.4,12.7,8.1,4.4,46.4,2.2,3.2,30.1,13.6,52.7,15.8,15.9,15.6,0.0,0.0,6.7,26.8,5.5,5.1,35.7,20.2
"지역별",광주·전라·제주,17.9,12.5,26.8,21.5,15.8,5.3,0.0,18.7,0.0,10.4,64.6,6.3,0.0,0.0,31.6,25.7,42.7,0.0,0.0,0.0,31.6,0.0,68.4,0.0,21.7,23.9,43.2,11.3,0.0,0.0,0.0,49.8,0.0,0.0,34.4,15.8,29.3,26.4,31.4,8.1,4.8,0.0,0.0,61.5,6.6,8.8,16.6,6.5
"지역별",부산·울산·경남,31.0,22.1,39.4,7.5,0.0,0.0,11.6,30.5,13.1,27.7,17.1,0.0,20.2,5.0,27.5,26.4,10.4,10.4,20.2,18.5,0.0,0.0,61.3,0.0,6.5,10.2,33.7,22.7,13.7,13.3,3.3,28.4,0.0,3.6,55.1,9.7,43.2,3.6,31.4,16.1,0.0,5.8,0.0,24.5,3.9,5.0,40.7,25.9
"지역별",대구·경북,20.2,23.2,43.1,13.5,0.0,0.0,0.0,20.2,19.1,0.0,60.7,0.0,35.3,8.6,0.0,25.4,0.0,30.7,15.9,35.4,0.0,30.7,18.1,0.0,56.9,13.1,20.8,0.0,9.2,0.0,0.0,28.0,0.0,0.0,36.1,35.9,20.5,39.7,20.2,9.8,9.8,0.0,30.3,17.7,14.0,9.8,25.8,2.4
"학력별",중·고등학생,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.2,0.0,69.6,20.2,0.0,0.0,20.2,0.0,10.2,14.8,0.0,54.8,-,-,-,-,-,-,-,-,-,-,-,-
"학력별",대학생·대학원생,15.6,22.7,45.8,15.9,0.0,0.0,13.0,34.0,22.0,15.1,15.9,0.0,73.7,0.0,15.8,10.5,0.0,0.0,34.6,39.1,0.0,0.0,10.5,15.8,22.7,21.6,20.4,35.3,0.0,0.0,36.2,51.8,0.0,0.0,0.0,12.0,66.0,22.5,6.0,3.2,2.2,0.0,17.0,31.0,8.7,5.8,3.9,33.7
"학력별",고졸이하,28.7,19.6,33.3,14.7,3.6,0.0,0.0,16.6,18.7,3.3,54.8,6.6,6.6,0.0,13.7,35.3,23.5,20.9,6.6,21.2,14.2,16.8,41.3,0.0,26.0,6.0,33.3,19.5,10.0,5.2,0.9,19.9,3.6,3.5,64.8,7.3,40.4,20.2,20.8,14.9,3.8,0.0,3.7,37.3,7.1,7.5,29.5,14.9
"학력별",대졸이상,12.9,16.3,37.0,17.7,8.2,8.0,4.7,16.3,3.6,3.9,71.5,0.0,20.9,38.2,5.8,24.4,8.4,2.3,0.0,36.8,22.6,0.0,40.6,0.0,31.8,16.5,16.9,16.9,7.6,10.2,0.0,21.2,1.2,0.0,54.8,22.9,28.8,27.9,23.7,14.3,0.0,5.3,0.0,40.7,5.7,2.7,40.5,10.4
"주거형태별",동거,33.4,17.0,41.2,8.4,0.0,0.0,6.2,36.5,16.4,12.3,20.9,7.7,24.5,53.8,11.4,10.3,0.0,0.0,17.2,77.3,0.0,0.0,0.0,5.5,39.0,18.4,24.0,16.6,0.0,1.9,8.2,34.2,2.1,4.6,20.4,30.5,47.2,23.5,18.7,5.5,0.9,4.2,7.0,51.7,11.7,8.4,0.9,20.4
"주거형태별",비동거·독립,12.3,18.3,34.6,19.8,8.4,6.5,2.9,10.4,7.6,1.6,77.5,0.0,23.0,8.3,7.8,33.4,17.1,10.4,0.0,10.2,26.8,6.6,56.3,0.0,21.7,8.2,25.7,20.9,12.9,10.5,0.0,14.7,2.5,0.0,75.4,7.4,32.5,25.3,18.6,20.8,2.8,0.0,2.5,17.3,0.0,0.0,67.3,12.8
